"rank","global_rank","so_answer_id"
1,5,"5585800"
2,27,"1200646"
3,326,"5287561"
4,532,"13395230"
5,841,"1625263"
6,974,"7853536"
7,1059,"2592513"
8,1107,"7488676"
9,1177,"203992"
10,1215,"225360"
11,1343,"782183"
12,1381,"2564303"
13,1386,"88863"
14,1409,"180191"
15,1427,"921400"
16,1467,"473309"
17,1494,"687842"
18,1563,"541769"
19,1633,"3064447"
20,1657,"1538767"
21,1736,"625624"
22,1814,"7899558"
23,1959,"4662265"
24,1994,"3661441"
25,2012,"2538803"
26,2036,"10631738"
27,2064,"2137791"
28,2108,"13386289"
29,2161,"462322"
30,2198,"21696844"
31,2226,"580181"
32,2242,"2163056"
33,2355,"3753878"
34,2403,"2369983"
35,2550,"5404251"
36,2566,"5163852"
37,2596,"509230"
38,2642,"22463063"
39,2723,"3844602"
40,2845,"7552284"
41,2936,"6138183"
42,2955,"5061736"
43,3017,"3559079"
44,3043,"5270292"
45,3074,"8882317"
46,3203,"1994283"
47,3232,"5725949"
48,3243,"15754658"
49,3270,"11496738"
50,3301,"4862112"
51,3311,"1223064"
52,3348,"3144617"
53,3389,"7775373"
54,3447,"228481"
55,3531,"2451660"
56,3560,"1073933"
57,3585,"7347895"
58,3619,"17294390"
59,3698,"2654053"
60,3788,"14534798"
61,3815,"2537024"
62,3855,"3549341"
63,3923,"10943694"
64,3986,"12558329"
65,4026,"24182811"
66,4149,"50543"
67,4165,"13627599"
68,4250,"616014"
69,4323,"576863"
70,4327,"5531479"
71,4523,"1090564"
72,4568,"11177393"
73,4569,"5982478"
74,4580,"1156483"
75,4591,"2442610"
76,4653,"15039537"
77,4658,"2361108"
78,4665,"3243779"
79,4690,"1509487"
80,4774,"16098086"
81,4804,"30125523"
82,4807,"886799"
83,4843,"35885"
84,4851,"1685158"
85,4861,"11439939"
86,4877,"19467228"
87,4979,"2623292"
88,5005,"2143505"
89,5050,"12863072"
90,5074,"1522115"
91,5095,"54912"
92,5106,"5054217"
93,5162,"4441118"
94,5201,"924220"
95,5223,"4278284"
96,5303,"14432150"
97,5329,"2800839"
98,5356,"3806154"
99,5377,"9936658"
100,5383,"1389747"
101,5423,"4614244"
102,5433,"3574500"
103,5503,"12952069"
104,5504,"8441681"
105,5509,"4229001"
106,5611,"2367418"
107,5687,"3680236"
108,5793,"2587000"
109,5803,"1583968"
110,5824,"4157429"
111,5893,"4067825"
112,5935,"3195713"
113,5973,"23945792"
114,6001,"1565243"
115,6023,"10910970"
116,6036,"3605320"
117,6065,"6432100"
118,6090,"1614803"
119,6183,"8549758"
120,6190,"23981027"
121,6234,"6994664"
122,6248,"950431"
123,6326,"7451611"
124,6331,"2429246"
125,6349,"17121338"
126,6424,"238634"
127,6497,"1027592"
128,6550,"5046816"
129,6572,"5258323"
130,6647,"2380328"
131,6651,"1277904"
132,6670,"6317358"
133,6675,"20358920"
134,6712,"5068907"
135,6759,"19441842"
136,6795,"4352901"
137,6855,"247184"
138,6914,"3672738"
139,6940,"17974"
140,7046,"2131825"
141,7067,"7252166"
142,7107,"5657540"
143,7136,"11145854"
144,7204,"5165471"
145,7279,"8689757"
146,7433,"425466"
147,7483,"6897218"
148,7597,"13796501"
149,7624,"2127336"
150,7641,"226920"
151,7654,"1881761"
152,7674,"5688062"
153,7712,"9543339"
154,7812,"2026299"
155,7844,"1091817"
156,7857,"1252202"
157,7892,"8652958"
158,7908,"5477269"
159,7938,"4812589"
160,7946,"10231040"
161,7973,"54950"
162,8008,"3517108"
163,8032,"3958979"
164,8166,"2206604"
165,8211,"12853618"
166,8325,"1962195"
167,8351,"10630763"
168,8393,"6463608"
169,8414,"5023742"
170,8419,"10179008"
171,8465,"7427797"
172,8510,"7194914"
173,8513,"19650938"
174,8521,"13472173"
175,8533,"2608682"
